instance,scenario,progress,scenario_seed,method,algorithm_seed_count,algorithm_seed_min,algorithm_seed_max,greedy_baseline_cost,route_cost_mean,route_cost_sample_sd,route_cost_median,route_cost_min,route_cost_max,route_cost_cv,online_time_ms_mean,online_time_ms_sample_sd,online_time_ms_median,online_time_ms_min,online_time_ms_max,online_time_ms_cv,paired_relative_reduction_percent
M-C,robot_failure,0.5,0,dynamic_ails,10,1000,1009,189.16075845949,170.3741755524492,0.12240323902237847,170.3120644798915,170.275617638305,170.595626385695,0.0007184377481239637,1024.58195,11.918212397582476,1021.4388,1010.4291,1044.2843,0.011632268553611037,9.93154344486522
M-C,robot_failure,0.5,0,global_replan,10,1000,1009,189.16075845949,170.36303407947338,0.045924993172892906,170.348511321478,170.348511321478,170.493738901432,0.0002695713505047648,1062.62517,12.389351715086276,1059.5680499999999,1047.4026,1082.7115,0.011659192784870959,9.937433394274683
M-C,robot_failure,0.5,1,dynamic_ails,10,1000,1009,158.149050315785,153.7938241587126,1.1922370319417352,153.590290708174,152.476378046871,155.824746504828,0.007752177556306598,1029.8408,10.111012441557639,1031.7211499999999,1015.1431,1046.4983,0.0098180344394567,2.7538743662235543
M-C,robot_failure,0.5,1,global_replan,10,1000,1009,158.149050315785,158.7441574973788,4.943209342254419,157.926095880476,153.307962652495,166.084691229442,0.03113947259656496,1064.65095,10.620773758509515,1063.89175,1053.7813,1090.3776,0.009975827061920637,-0.3762951344984584
M-C,robot_failure,0.5,2,dynamic_ails,10,1000,1009,157.486119940296,153.3841551573387,0.6510491295332211,153.307962652495,152.476378046871,154.205712523604,0.0042445657366980746,1028.90813,12.500132714588819,1026.797,1010.605,1047.4693,0.012148929870530636,2.6046516254971315
M-C,robot_failure,0.5,2,global_replan,10,1000,1009,157.486119940296,152.07734934949832,0.6481118967932753,152.00800489325798,151.201276415075,153.106441090872,0.004261725362557507,1066.3596400000001,9.26312283882229,1067.7415,1053.7226,1080.4847,0.008686678013078486,3.434442726030823
M-C,robot_failure,0.75,0,dynamic_ails,10,1000,1009,182.313752098658,177.903021735936,0.0,177.903021735936,177.903021735936,177.903021735936,0.0,1008.4649499999999,3.2516478671077875,1009.0782999999999,1004.561,1012.9158,0.0032243538727922947,2.419307546440691
M-C,robot_failure,0.75,0,global_replan,10,1000,1009,182.313752098658,177.903021735936,0.0,177.903021735936,177.903021735936,177.903021735936,0.0,1018.0762199999999,2.3262126810189434,1017.71405,1014.8864,1022.465,0.0022849101426010553,2.419307546440691
M-C,robot_failure,0.75,1,dynamic_ails,10,1000,1009,165.517998985299,163.930632018718,0.5068981776934307,163.690189101223,163.690189101223,164.892403688698,0.0030921504507806195,1009.10142,2.483528833825852,1008.2146,1006.1983,1013.3747,0.0024611290645353092,0.9590298193019927
M-C,robot_failure,0.75,1,global_replan,10,1000,1009,165.517998985299,163.81041055997053,0.38017363327007303,163.690189101223,163.690189101223,164.892403688698,0.002320814849132513,1020.84221,3.3104450877151974,1019.4659,1017.3816,1025.3852,0.0032428567855900055,1.0316632848371479
M-C,robot_failure,0.75,2,dynamic_ails,10,1000,1009,162.490899162481,161.80159987785152,0.3409548685168476,161.7911623534555,161.389126772785,162.322953406642,0.0021072404029023432,1009.5211300000001,3.2809266594295465,1008.71825,1005.2975,1016.3574,0.00324998314738548,0.4242079329872139
M-C,robot_failure,0.75,2,global_replan,10,1000,1009,162.490899162481,161.62233726209098,0.2958233420682801,161.522829392569,161.389126772785,162.322953406642,0.0018303369885597266,1022.1130300000001,3.7761287707710025,1020.8035500000001,1017.9076,1027.758,0.003694433648665062,0.5345295674199729
M-C,service_location_invalidation,0.25,0,dynamic_ails,10,1000,1009,121.01549691741,121.01549691740999,0.0,121.01549691741,121.01549691741,121.01549691741,0.0,1041.9275599999999,29.8516822863823,1031.9278,1012.3044,1095.2323,0.028650439274667334,1.174300405914174e-14
M-C,service_location_invalidation,0.25,0,global_replan,10,1000,1009,121.01549691741,139.71707655748008,5.001929786874685,140.5556012852595,130.486037933703,148.261142502043,0.035800418317634024,1128.25916,24.802212419334246,1125.7129,1101.8937,1181.1882,0.021982726397128692,-15.453871707714782
