progress,scenario,algorithm,runs,successful_runs,failed_runs,skipped_runs,feasible_rate,prefix_preservation_rate,failure_recovery_rate,completion_rate_mean,completion_rate_std,completion_rate_min,completion_rate_max,final_completion_makespan_mean,final_completion_makespan_std,final_completion_makespan_min,final_completion_makespan_max,relative_makespan_increase_mean,relative_makespan_increase_std,relative_makespan_increase_min,relative_makespan_increase_max,replanning_time_ms_mean,replanning_time_ms_std,replanning_time_ms_min,replanning_time_ms_max,reassigned_tasks_mean,reassigned_tasks_std,reassigned_tasks_min,reassigned_tasks_max,changed_candidates_mean,changed_candidates_std,changed_candidates_min,changed_candidates_max,forced_candidate_changes_mean,forced_candidate_changes_std,forced_candidate_changes_min,forced_candidate_changes_max,changed_edges_mean,changed_edges_std,changed_edges_min,changed_edges_max,disruption_score_mean,disruption_score_std,disruption_score_min,disruption_score_max,accepted_candidates_mean,accepted_candidates_std,accepted_candidates_min,accepted_candidates_max,accepted_worse_candidates_mean,accepted_worse_candidates_std,accepted_worse_candidates_min,accepted_worse_candidates_max,best_updates_mean,best_updates_std,best_updates_min,best_updates_max
0.25,service_location_invalidation,greedy,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,120.39975264913666,0.53325017855937,120.091880515,121.01549691741,0.002560868750927889,0.004435554788122961,-2.36666370020362e-16,0.00768260625278414,0.7538333333333332,0.03298868492882571,0.7271,0.7907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,service_location_invalidation,greedy_ls,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,120.39975264913666,0.53325017855937,120.091880515,121.01549691741,0.002560868750927889,0.004435554788122961,-2.36666370020362e-16,0.00768260625278414,8.118566666666668,0.5025061226824342,7.7186,8.6826,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,new_task_arrival,dynamic_ails,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,124.30088809136767,0.709789472696151,123.664453451702,125.066335002826,0.03504539764084657,0.0059141940729692906,0.0297401731952022,0.0414220717212039,1051.2287,13.03989898848916,1037.3709,1063.2576,1.0,1.0,0.0,2.0,3.3333333333333335,1.5275252316519468,2.0,5.0,0.0,0.0,0.0,0.0,22.333333333333332,4.163331998932265,19.0,27.0,0.0,0.0,0.0,0.0,8.666666666666666,4.041451884327381,5.0,13.0,2.3333333333333335,1.5275252316519468,1.0,4.0,4.666666666666667,2.0816659994661326,3.0,7.0
0.5,new_task_arrival,global_replan,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,128.49009019762568,3.7912546680138166,124.860265457939,132.424410793155,0.06992850558345791,0.03156489966626787,0.039706139353392,0.102683365342926,1113.6414333333332,15.78581609209147,1100.4457,1131.1295,1.0,0.0,1.0,1.0,8.333333333333334,4.041451884327381,6.0,13.0,0.0,0.0,0.0,0.0,35.0,7.211102550927978,29.0,43.0,0.0,0.0,0.0,0.0,11.333333333333334,6.027713773341708,5.0,17.0,1.3333333333333333,0.5773502691896257,1.0,2.0,9.666666666666666,6.110100926607787,3.0,15.0
0.5,new_task_arrival,greedy,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,127.12698602300668,2.993412366429277,124.413733870849,130.338124073865,0.0585780426297886,0.0249212183461153,0.0359878897500488,0.0853110874757423,2.7139,0.07858759444085317,2.6294,2.7848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.666666666666666,1.1547005383792515,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,new_task_arrival,greedy_ls,3,3,0,0,1.0,1.0,,1.0,0.0,1.0,1.0,127.12698602300668,2.993412366429277,124.413733870849,130.338124073865,0.0585780426297886,0.0249212183461153,0.0359878897500488,0.0853110874757423,10.029766666666667,0.9646578944544713,8.9275,10.7199,0.0,0.0,0.0,0.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.0,0.0,0.0,0.0,13.666666666666666,1.1547005383792515,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,robot_failure,dynamic_ails,3,3,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,159.455054226514,9.627566910331364,153.590290708174,170.56627797391,0.3277715759875377,0.080161584207107,0.278939842140202,0.420286458393739,1021.4555999999999,3.58872316708875,1018.3295,1025.3744,8.333333333333334,4.041451884327381,6.0,13.0,5.333333333333333,2.0816659994661326,3.0,7.0,0.0,0.0,0.0,0.0,26.666666666666668,4.163331998932265,22.0,30.0,0.0,0.0,0.0,0.0,12.333333333333334,3.511884584284246,9.0,16.0,2.0,0.0,2.0,2.0,8.0,3.4641016151377544,6.0,12.0
0.5,robot_failure,global_replan,3,3,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,160.218050171404,9.341559993280246,151.973259072477,170.363925438551,0.33412501551857937,0.07778042248312102,0.265474888233557,0.418601491299389,1067.6324333333334,14.7951333655135,1051.1608,1079.7938,10.333333333333334,3.511884584284246,7.0,14.0,9.0,7.54983443527075,1.0,16.0,0.0,0.0,0.0,0.0,39.333333333333336,10.263202878893768,28.0,48.0,0.0,0.0,0.0,0.0,15.666666666666666,3.214550253664318,12.0,18.0,2.6666666666666665,0.5773502691896257,2.0,3.0,11.0,4.358898943540674,6.0,14.0
0.5,robot_failure,greedy,3,3,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,168.265309571857,18.099025038174,157.486119940296,189.16075845949,0.401133773363912,0.15070231776533402,0.311380247065295,0.575120632816981,2.3291,0.6515454934231378,1.5814,2.7752,6.0,0.0,6.0,6.0,3.6666666666666665,0.5773502691896257,3.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,robot_failure,greedy_ls,3,3,0,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,165.635370759342,14.83580674094334,156.034340622882,182.722721339359,0.37923453165490234,0.12352990964218007,0.299291342210207,0.52151181254504,7.892766666666667,0.6100773257000568,7.2576,8.4742,6.0,0.0,6.0,6.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,13.333333333333334,1.1547005383792515,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
