metric,old,new,absolute_change,relative_change_percent
scale/dynamic_ails/M/cost,135.7582926751994,141.73827831622705,5.979985641027639,4.404876875797712
scale/global_replan/M/successful,18.0,18.0,0.0,0.0
scale/global_replan/M/time_ms,1085.9909722222224,1082.1004888888888,-3.8904833333335773,-0.35824269564346634
scale/global_replan/M/cost,138.45117771315088,145.18160359392132,6.73042588077044,4.86122689018567
scale/greedy/L/successful,18.0,18.0,0.0,0.0
scale/greedy/L/time_ms,10.98081111111111,10.744777777777777,-0.23603333333333332,-2.1495072717761183
scale/greedy/L/cost,111.34585192833667,114.25914814253696,2.9132962142002867,2.616438927671337
scale/greedy_ls/L/successful,18.0,18.0,0.0,0.0
scale/greedy_ls/L/time_ms,30.862277777777777,30.871644444444446,0.009366666666668522,0.03034988776302487
scale/greedy_ls/L/cost,110.96863455959239,113.86978143367469,2.9011468740823005,2.614384583171857
scale/dynamic_ails/L/successful,18.0,18.0,0.0,0.0
scale/dynamic_ails/L/time_ms,1339.9804833333335,1221.0907222222222,-118.88976111111128,-8.872499457257863
scale/dynamic_ails/L/cost,109.6150898634402,112.62211662531391,3.0070267618737034,2.7432598610464067
scale/global_replan/L/successful,18.0,18.0,0.0,0.0
scale/global_replan/L/time_ms,1698.6781666666666,1511.6829333333333,-186.99523333333332,-11.008279084452822
scale/global_replan/L/cost,119.98354659626797,118.90011872354904,-1.0834278727189286,-0.9029803697706567
